CLEAN_ANSWER,LANGUAGE,EMOJIS,SENTIMENT
مايصلح التسوق عندكم,ar,,Positive
جعل اشتراك جود مدى الحياة و النقاط هي ما يحدد نسبة الخصم,ar,,Positive
اقترح خدمة توصيل الطلبات من الساعه ٩ صباحاً,ar,,Neutral
توفير المنتج في جميع الفرواع,ar,,Positive
للاسف خدمه غير جيده حراميه,ar,,Negative
"I want you to deliver my order ,",en,,Positive
All staff in store are very professional and give you guidance to choose the best product.,en,,Positive
الصدق و الامانة و الولاء للعميل,ar,,Positive
يجب ان يكون تركيب مكيفات السبلت على مرحلتين أولا التمديد  ثانيا التركيب,ar,,Neutral
الموظفين كويسين,ar,,Negative
عبدالرحمن موظف المبيعات ما قصر,ar,,Positive
اتمنالكم المزيد من التقدم,ar,,Negative
العروض,ar,,Positive
توافر المنتج في المعارض دائما,ar,,Positive
المصداقيه,ar,,Positive
التعامل  مع اكستراء,ar,,Positive
عدم بيع السلعه وهي غير متوفره,ar,,Negative
عدم التزام بالموعد وعدم وضوح الاجراء,ar,,Negative
ان تكون هنالك هدايا عينية تتراوح مع مبلغ الشراء,ar,,Negative
Open branch in riffa,en,,Negative
نشكر الموظف احمد الرويلي مسؤل صيانة اكسترا عرعر على تعامله الراقي مع الزبون,ar,,Positive
الاخ سليمان ل يشتغل في فرع صحار ؛ ماشاالله مرة عارف كل شي و يهتم بالزبائن اخر درجة ؛ نشكر الاخ سليمان و مجموعة اكسترا,ar,,Positive
Customer service,en,,Positive
توفير المزيد من العروض,ar,,Positive
Thank you for all 🤩👍,en,🤩👍,Positive
تعاون اكثر من العاملين,ar,,Negative
سهوله التقسيط,ar,,Positive
دقه في الوقت والاصلاح,ar,,Positive
ان تتوفر المنتجات في كل الفروع,ar,,Positive
توزيع افرع خدمه في الولايات المجاوره,ar,,Positive
شكرا لكم,ar,,Positive
لايوجد,ar,,Neutral
غير مرضي,ar,,Negative
لو تقفلو خدمة العملاء احسن  سيئيييييييين جدا في الرد والخدمه,ar,,Negative
المنتجات محدوده,ar,,Negative
كود خصم,ar,,Positive
ممتاز,ar,,Positive
شكرا,ar,,Positive
الالتزام بالمصداقية في الضمان وسرعة الصيانة .لأنه أعطوني رقم طلب صيانة ولم يلتزموا به,ar,,Positive
Nothing,en,,Neutral
عدم االمصداقيه في المواعيد,ar,,Negative
الشكر لموظفين قسم المكيفات وعلى رأسهم عبدالخالق,ar,,Positive
أمل اعادة النظر في اسعار المعروضات وخفض الأسعار بما يقارب 25/   وكذلك عمل تخفيضات علي بعض المعروضات وعمل الدعاية اللازمة لذلك,ar,,Positive
نعم احتاج وثيقة الضمان,ar,,Positive
مركز لايوجد اهتمام بالعميل .. وكذلك الموظفين غير ملتزمين بأماكن عملهم .. والموظف مسلمني المنتج بيدي بدون اان يضعها في كيس,ar,,Negative
"I expect AC technician will be from extra but they were not from extra, and they were not professional,  when they unpacked outdoor unit ,, the parts which came with outdoor unit they have taken with them I told them I paid for give me , but they have took with them , like wire, aluminium pipe, cello tape , etc. I am bery much disappointed with them ,, kindly ask them return parts which came with outdoor unit.",en,,Negative
They didn't repair the oven yet,en,,Negative
توضيح الرسوم ان وجدت قبل البدء بالاصلاح وتعديل بنود العقد لتضمن حقوق الطرفين الاستثناءات يجب ان تكون واضحة ولاتترك لاجتهاد الفني او المشرف,ar,,Negative
فوضى في المحل وعدم ترنيب,ar,,Negative
Never purchased again,en,,Negative
All the crews are awesome. I don't have any comments. Because they are doing great job,en,,Positive
شكرا,ar,,Positive
خدمة سيئة من الشركة,ar,,Positive
بعد الشراء تختفي العلاقة بين اكسترا والعميل لايوجد توريد لطلب؟ لا يوجد متابعة؟ لوهله تحس انه تم خداعك!!!!لا الان لم استلم تلفزيون تم شراء قبل 12 يوم ولم يتم التوريد؟؟؟؟,ar,,Negative
لا شيىء,ar,,Negative
lest price,fr,,Negative
ان يكون الموظفون اكثر مبادرة ولا أن يضطر العميل للبحث عنهم,ar,,Negative
توفير المنتجات الى عليها عرض,ar,,Positive
التسوق باكسترا,ar,,Positive
مصداقيه في المبيعات ... و الصيانة,ar,,Positive
اعطاء معلومات صحيحه للعملاء من البائعين وعدم الاهتمام كثيراً بمعلومات خدمات مابعد الشراء,ar,,Negative
The best Pricing,en,,Positive
سرعة التوصيل,ar,,Positive
استمرار التخفيضات,ar,,Positive
إغلاق الأصوات المزعجة (الموسيقا) في المركز والتي تؤذي العملاء وتفقدهم متعة التسوق,ar,,Negative
ممتازين,ar,,Positive
عدم التسويق بالكذب.. ذكرتك أن الجهاز س استلم واحد جديد تم تصلحيه وتغير الشاشة الإضاءة ضعيفة جدا,ar,,Negative
أنا طلبت إصلاخ غسالة ولي أسبوعين وما صلحتوها,ar,,Negative
مراجعة أسعار الصيانة,ar,,Positive
فيه واحد ركب لجوالي شاشة حمايه مرا لطيف ومتساعد وسريع ماطول وهو يركبه but I forgot his name I'm sorry كان يبدأ ب عبد,ar,,Negative
"كنت أتمنى تغيير المنتج ، قالوا لي إنه أصبح مستخدم و لا يجوز إرعاجه!! إذاً كيف كنت تبغاني أجرب المنتج دون ما أستخدمه!!",ar,,Negative
سعاده,fa,,Positive
لا يوجد,ar,,Neutral
صيانة ضعيفة الخبرة... تمت صيانة العطل وتم احداث عطل آخر,ar,,Negative
للاسف  تجربتي الاخيره معهم كانت بسبب تأخرهم على الموعد للتسليم بعد انتهاء فتره التوصيل  والمعاملة من ااحد العمال سيئة واسلوبه غير محترم,ar,,Negative
عمل خصومات ¼ سنوية مغرية لتعزيز مبيعاتكم تكون في أوقات مناسبة للمستهلكين ( اول اسبوع الرواتب),ar,,Positive
خدمة العملاء,ar,,Positive
No good,so,,Negative
الكمال لله وتحيه وتقدير للجميع و بالاخص المهندس مصطفى,ar,,Positive
الأهتمام أكثر بالعروض و الخصومات,ar,,Negative
لايوجد خدمه في الفرع للاسف اخذت طباعه والمصري اللي في ايبسون مايعرف شي,ar,,Positive
Less price with more Offers,en,,Negative
Reduce staff repeating advice for extend warranty,en,,Negative
Staff behavior,da,,Positive
التخفيضات للزبائن المكررين,ar,,Positive
"Don,t display the product which is out of stock",en,,Negative
"يجب أن لا يكون المشرف أو البائع ملاصق للعميل بشكل ممل ،، لابد أن يعطى مساحه للعميل وفى حال احتياج المشاهدعظه اكيد بنطلب المشاعده",ar,,Negative
شكراً ابو نايف على الخدمة المميزة,ar,,Positive
Having more open delivery timings,da,,Neutral
I request for morning delivery the shipment arrived 5 PM,en,,Negative
It was good overall. Keep it up,en,,Positive
Shipment in the given time and good behaviour of delivery staff .,en,,Positive
They left the room in a complete mess dirty floors and walls. They placed the ac on unstable empty box and it fell down. They cut the cable and left the cables inside it exposed. They didnt have all what needed with them and i had to find the materials for them,en,,Negative
تم رفض تركيب الجلسه,ar,,Negative
🌹,emoji,🌹,Neutral
Ahmed attitude and his recommendations to help as he can,en,,Positive
الرجاء ان يكون التعامل من خلال اكستر وليس الوكيل,ar,,Negative
لا شي,ar,,Neutral
"I  would like to thank Danish and take a moment to sincerely for his outstanding customer service. His friendly and helpful attitude made a real difference, and I truly appreciated the way he handled everything with such professionalism and care",en,,Positive
لماذا التوصيل يحتاج 5 ايام أعتقد انه يوجد لديكم تأخير جدا,ar,,Negative
المبادرة بتوفير جهاز بديل في حال تأخر الصيانة مباشرة من قبل قسم الصيانة دون الحاجة الى قيام العميل بطلب توفير جهاز بديل,ar,,Positive
لم يتم خدمتي وتم رفض طلب الصيانة,ar,,Negative
اكسترا بسبب الصيانه. دخلت بمشكله اخرى بشراء سلعه اخرى,ar,,Negative
شكرا,ar,,Positive
More branches,en,,Positive
لا يوجد,ar,,Neutral
فتح المعارض ٢٤ ساعة,ar,,Positive
اسعار تنافسية و عروض أحسن من المحلات الأخرى و بطاقة الولاء,ar,,Positive
abdullah,so,,Positive
ارجوا سهولة توصيل المنتج  . عند طلبي السابق تعبت وتقدمت بشكوى على السائق لانهم غير متعاونين لايلتزمون بيوم او وقت التوصيل واذا تكررت هذه المره فلن اطلب مجددا من اكسترا,ar,,Negative
🌹🌹,emoji,🌹🌹,Neutral
Better and certificated customer service,en,,Positive
تعامل الكاشير سيء للغاية بمعنى اخدم نفسك,ar,,Positive
الموظف في قسم الجوالات يجبرك تشري ضمان إكسترا وإلا مايبيعك جوال بينما المفترض أن يكون الضمان إختياري وهذا استغلال وغش للعملاء.,ar,,Positive
سيء جدا,ur,,Neutral
good behaviour of store staff,en,,Positive
The cashier dealt nicely and in a professional manner. well behaved and fluent in communication . Ms. Maha found to be supportive and i wish Extra to have more staff in the similar supportive manner. I really witnessed the positive change in the Extra shopping experience.,en,,Positive
This  stire staff very Good,en,,Positive
مراجعه حاله العميل والتعاون معه في تلمسح حاجته لايوجد احترافيه في التعامل يتضح ان هناك عمل عشوائي وغير منظم,ar,,Negative
Nice,ro,,Positive
محمد السنان موظف ممتاز جدا,ar,,Positive
تعامل اكثر احترافية وتوصيل في الوقت المطلوب,ar,,Positive
Special thanks to Mr. Ramsheed who accompanied me throughout the hour until I chose the right refrigera,en,,Positive
لا شيء,ar,,Neutral
لا,ar,,Neutral
متعب احضار نفس الجهاز اكثر من مره. يدل ان المره السابقه لم يتم التصليح كما ادعي من اكسترا,ar,,Negative
"As a customer, I believe that maintaining high standards of hygiene and professionalism is crucial to representing the Extra brand positively.  During my recent visit, I noticed some concerns regarding the hygiene of certain staff members—including body odor and the cleanliness of their clothes (Which is not uniform). Additionally, clear communication is essential, and it would be greatly appreciated if the staff could be proficient in basic English to assist all customers effectively. I am sharing this feedback with the intention of supporting continuous improvement and ensuring the best possible experience for all visitors.  Thank you for your attention, and I trust that this will be taken constructively.",en,,Positive
وجود تقييم على المنتجات يساعد على اختيار الأفضل وتجنب المنتجات التي قد يكون مستواها غير مرضي نظرا لكثرة وتنوع المنتجين,ar,,Positive
Actually it was nice experience to visit your branch in Sohar. Employees there very friendly and helpful especially Mr.Sayeed Sdeeqh,en,,Positive
Nothing,en,,Neutral
الضمان وينه,ar,,Positive
شكرا,ar,,Positive
مافيه شي محدد .. والله يعطيكم العافيه,ar,,Negative
سي لان أخذ فلوس زياده,ar,,Positive
اتاحة للعميل اختيار فترة التوصيل في اليوم (صباح/مساء),ar,,Positive
الالتزام بالمواعيد,ar,,Positive
Thanks very much eng. Baraa,en,,Positive
The poor quality of technicians left TV hanging on the bracket without properly fixing. TV would have fallen on the floor and we realised that poor service.Please call me 0540724561,en,,Negative
Shabib was very helpful and professional,en,,Positive
شكر خاص لاستاذ اسلام عطا ع اسلوبه الراقي ف التعامل,ar,,Positive
لم يتم الالتزام بالمده المحدده وتم كسر الجهاز من قبلهم أثناء الإصلاح,ar,,Negative
الفني متعاون,ar,,Positive
كل شي تمام وشكرا,ar,,Positive
"تخفيض الأسعار، وهذا يجلب مبيعات أكثر وبالتالي أرباح أكثر لكم وإقبال ورضا أكثر للزبائن",ar,,Positive
الصيانه بشكل اسرع,ar,,Negative
لاشئ,ar,,Negative
"للأسف رغم حبي الشديد لشركة اكسترا وتكرار شرائي منها كل مرة، وجدت ان ٢ من موظفين الكاشير في فرع الأمير ماجد يفتقرون إلى اللباقة وحسن التعامل مع العملاء",ar,,Positive
استمرار الاداء,ar,,Positive
شكرا للموظف حبيب على تعاونه,ar,,Positive
تنافس ف الاسعار,ar,,Positive
So far everything is good.,en,,Positive
Choooer,nl,,Negative
Last time I visited extra granada . One lady maryam served me excellent better then guys.,en,,Positive
واجهت مشاكل في الصيانه تم طلب صيانة 6 مرات لنفس المشكله وبعد طلعت الروح اصلحتو المشكله والله يستر لو ماترجع,ar,,Negative
ارسال العروض,ar,,Positive
On line.it's easy,en,,Positive
Nothing to add.. everything is good,en,,Positive
لا,ar,,Neutral
Offers,de,,Positive
"you and your staff must provide convenience, safety, and excellent service",en,,Positive
لا,ar,,Neutral
The delivery was on time and even the staff who delivered was very active and friendly,en,,Positive
السلام عليكم. غيراضي من مواعيدكم غيرمنتظمين في مواعيد التوصيل,ar,,Negative
هنالك تاخير في سرعة الاستجابة فيما يتعلق بالصيانة او الاستبدال,ar,,Neutral
لا يوجد كان التوصيل في وقته وتعامل مندوب التوصيل رائع,ar,,Positive
العامل اكثر احترافية,ar,,Negative
السرعه من اول مره مش لازم تكيد العنوان من عنصر تاني,ar,,Negative
"when an item is available in any store,  the customer must have the leverage to have it delivered to him at any address he wish for",en,,Positive
Poor team and dirty clothes,en,,Negative
تطوير جودة المنتجات,ar,,Positive
Maintenance should make visit after buying and using after the first week to insure using after the first week to insure good using without any difficulties I without any difficulties ensuring quality and make advise the customers if found any wrong use.,en,,Positive
Good service,en,,Positive
Very good,af,,Positive
Thanks to Mr shaheed he was very supportive,en,,Positive
لا,ar,,Neutral
ডতজগ,bn,,Positive
وجود كول سنتر لخدمة العملاء بالاضافة للاون لاين,ar,,Positive
"Kind staff in the store, great prices online",en,,Positive
ارجو التواصل معي من قبل موظف صاحب صلاحية لم يتم حل الإشكالية,ar,,Positive
راضي على التوصيل  في الوقت المحدد,ar,,Positive
لا شئ,ar,,Negative
شكرا لعامل التوصيل,ar,,Positive
دقه المواعيد,ar,,Positive
"هناك اضافات منطقية كدمديدات النحاس للتكييف ولكن هناك اضافات غير منطقية كقاعدة المكيف الخارجي يجب ان تكون مع سعر التكييف لأن كلفتني للمكيف الواحد ٦٠ ريال اضافي ، وكذلك طلب موظف التركيب اكرامية بعد الشغل وهو يقوم بعمله المعتاد ( لماذا اكرامية )",ar,,Negative
شكراً 🙏 لكم,ar,🙏,Positive
لا نصح,ar,,Negative
لماذا لم يتم تركيب المنتج من قبلكم فقد رفض فريق العمل التركيب في الموقع,ar,,Negative
الالتزام بوقت وجدول التوصيل,ar,,Positive
افضل توضيح طريقة تشغيل المنتج,ar,,Positive
شكرا جزبلا,ar,,Positive
الدقة في المواعيد,ar,,Positive
لا تحتاجون الى توصية ممتازون بكل التعاملات,ar,,Positive
جدولة التوصيل,ar,,Positive
جزيل الشكر,ar,,Positive
لن اوصي بالتوصيل منكم,ar,,Positive
المنتج وصلني مفتوح !؟,ar,,Negative
اعطاء خبر التوصل قبل بساعه   للتواجد في الموقع,ar,,Positive
Service excellence,fr,,Positive
I request electronic invoice but I do not received,en,,Negative
اخذت ثلاجه وسيويت عليها تأمين إكسترا,ar,,Positive
Kind Istaf,de,,Negative
لماذا لايتم التوضيح للعميل بأنه يجب فتح المنتج والتأكد من سلامته وانه يعمل بشكل ممتاز قبل التوقيع على الاستلام ربما كان الشخص المستلم غير الشخص المشتري ولايعلم عن سياستكم المخفيه,ar,,Negative
There should be some time limit within that customer problem must be resolved. In my case that was not there.,en,,Neutral
Keep a record of all maintenance in app for customer record.,en,,Positive
Attending to customers shall be priority.,en,,Positive
Everything was wonderful thank you.,en,,Positive
Competitive price,it,,Positive
شكرا بتعامل الموظف الراقي,ar,,Positive
All ways smill,en,,Negative
لي اسبوع اتابع و المشكله ما انحلّت و بناء عليه أبلغت وزارة التجارة,ar,,Negative
التعاون مع العميل في توقيت التوصيل المناسب له,ar,,Positive
بصراحة اشكر الفني تبع التكييف واذا في توصية تكون بشراء اجهزة التكييف وخصوص بجودة وتعامل واهتمام فنيي الصيانة واشكرهم على ذالك ولكن باقي الأقسام عاديه جداً كان لدي طلبين جهاز تكيف واخر اثاث ولكن اشكر حقاً قسم التركيب والصيانه الأخ اليمني وصاحبة,ar,,Negative
شكرا جزيلا لكم,ar,,Positive
"رجاءً لا تضغطون على الناس لشراء التأمين، هذا من الأسباب اللي تخليني أغير وأشتري من مكان ثاني بدون تردد.",ar,,Negative
لاشي,ar,,Negative
لاشيئ,ar,,Positive
شكرا,ar,,Positive
"تعامل الفريق في منتهى الاحترام والالتزام بالمواعيد والجودة في،الأداء...الله يكثر من امثالهم",ar,,Positive
توفير المنتجات في كافة مناطق المملكة,ar,,Positive
‏ خصومات على كامل المعرض من أجل أن الموقع الإلكترونية أصبحت تمنح خصومات أكبر,ar,,Positive
استغرق الأمر تقريبا ساعة للحصول على اجابة,ar,,Negative
توصيل سريع,ur,,Positive
Thanks for all,en,,Positive
تخفيض الاسعار لتكون في متناول الجميع,ar,,Positive
الموظف ذياب,ar,,Positive
Great,en,,Positive
ماشاء الله عليهم ماخلوا لنا اقتراح كل شيء تمام,ar,,Positive
قدرة العميل الشراء من خلال التواصل عن بعد والسداد بالتحويل لبعد بعض الفروع عن العملاء,ar,,Positive
اللي يركب المكيفات  يجب ان يكون فني ممتاز  ويلتزم بالمواعيد المتفق عليها,ar,,Positive
"improve online data about some of the features of the devices - beacuse i found that the motorola has NFC but at online data , it says not avalaible",en,,Negative
Need more discount,en,,Negative
Good,so,,Positive
اكسترا نوعية دائما شكرا لكم جميعا,ar,,Positive
Good price,en,,Positive
شكرا لكم,ar,,Positive
اشكر مشعل الحربي على اخلاقه وتجاوبه مع الزباين,ar,,Positive
يعطيكم العافية,ar,,Positive
التجربة مثالية و الفريق متعاون و احترافي.,ar,,Positive
سرعة التوصيل,ar,,Positive
سهولة الطلب من الموقع ذكر معلومات اكثر في تفاصيل المنتج هي التوصية الوحيدة,ar,,Positive
موظفين خدمة العملاء غير متعاونين نهائياً و طريقة الرد من اسوأ ما يمكن,ar,,Positive
جاءني الجوال بلون مختلف عن المشترى للأسف ومتضايق جدا بسبب ذلك وللأسف ما انتبهت الا بعد فتح العلبة,ar,,Negative
يجب التوضيح لموظف التوصيل انه يمثل شركه اكسترا ولا يمثل نفسه فقط !!,ar,,Negative
مراعاة اوقات الصلاة,ar,,Positive
لاني راضي تماما,ar,,Negative
بعد عمل التركيب واستبدال الغساله القديمة بالغساله الجديدة فريق التوصيل رفض اخراج الغساله القديمه الا بوجود مبلغ مالي وهو شيء مرفوض لانه لم يتم الاتفاق عليه من البداية تم الاتفاق على التركيب والتوصيل والتركيب يشكل ازالة القديمه وتركيب الجديد,ar,,Negative
لسه ماوصلني شي وأنا دافع حق الأغراض من ١٥ يوم,ar,,Negative
الانتباء الى تعليمات التركيب و عدم الاستهتار عند طلب الخدمة المستحقة.,ar,,Negative
التاخير باالاجراءات واصدار الفواتير وارجاع المبلغ بعد الاسترجاع,ar,,Positive
شكرا,ar,,Positive
لايوجد حل منذ ١٥ يوم وكل مرة نبدأ من الصفر,ar,,Negative
لا يوجد,ar,,Neutral
المندوب اسلوبه سيء جدا ولم يتعاون واجبرني الذهاب لمكان سكنه لاستلام الطلبيه مع العلم انني طلبت اعادتها للمستودع لاستلامها من هناك ولم يكن متعاون مما اجبرني للذهاب لمقر سكنه واستلام الشحنه,ar,,Negative
بس نقص ان يكون مغلف امن من اي كسر أو ضرار,ar,,Negative
لاتوجد توصية,ar,,Negative
امل تحديد وقت ثابت لزيارة العميل وليس مفتوح لكي لا يرتبط العميل فتره تصل الى 4 ساعات,ar,,Negative
انا بالنسبة لي كنت افضل الاستلام بالمعرض لقربه مني يبعد تقريبا 500 متر,ar,,Positive
أن يكون الفنيين جاهزين واحترافيين في التعامل مع الأجهزة,ar,,Positive
غيروا موظفين الصيانه لان مو طبيعي اللف والدوران,ar,,Negative
جودة الإصلاح سيئة و المدة مدخل المنتج لصيانة 4 مرات و لا انحلّت المشكلة,ar,,Positive
الموعد المتبع للصيانة وتقليل الجرة,ar,,Positive
بصراحه الكاشير جدا محترم ولبق في التعامل شكرا أبو محمد,ar,,Positive
أقترح خفض الأسعار قليلا حتى تناسب ميزانية العميل,ar,,Neutral
عروض خاصه للعملاء,ar,,Positive
Availability of stocks,en,,Positive
good service,hr,,Positive
سرعة في التوصيل و إعطاء موعد دقيق للاستلام,ar,,Positive
قبل كنسلة الطلب يتم انتظار العميل مره ومرتين وثلاثه والاهم اذا مافي رد يصير الاستلام من المعرض,ar,,Negative
لم يتم استبدال وصلاح الجهاز مع العلم ان الجهاز جديد وتم دفع رسوم ضمان 4 سنوات خدماتكم سيئه وصيانه سيئه ومبيعاتهم غير صحيحه تجربة سيئه جدا,ar,,Negative
تمديد العروض,ar,,Positive
معاملة الموظفين و قسم الصيانة كانت ممتازة مع تنوع الخدمات و الأجهزة,ar,,Positive
Alshammry and the other guys working close the TVs were nice to me. 🌹😍,en,🌹😍,Positive
"The gentleman in repair place I remember his name Ahamad I think , best service",en,,Positive
الانتظار عند الاستلام والتسليم بطئ,ar,,Positive
جميل تعاملهم,ar,,Positive
للاسف اكسترا يهمها الربح فقط. قد ربحو من في السلعه وراحو في خصم الضمان لكن خسروا عميل للابد,ar,,Negative
خدمات ممتازة وباحترافية,ar,,Positive
نعم,ar,,Positive
لاقترح انتم مميزين,ar,,Neutral
تخفيض السعر ☺️,ar,☺,Positive
لا افهم في مستحضرات التجميل,ar,,Negative
لا شيء,ar,,Neutral
greatful for tye services.very accomodating,en,,Positive
ولا شي والله كل شي تمام,ar,,Negative
شكرا لكم,ar,,Positive
"تعامل المندوبين مع الشحنات الثمينة، في اول تجربة شراء لي من اكسترا وصل الطلب مثل م وعدتو لكن مندوب التوصيل كان يمسك الكرتون بطريقة مرعبة نص الكرتون غير مثبت وبيطيح منه كل شوي اثناء استلام كود الاستلام،",ar,,Negative
شكرا لكم علي حسن تعاملكم,ar,,Positive
رائحه المنتجات كريهه جدا جدا,ar,,Negative
السرعة و الالتزام بالوقت التوصيل كان رائع,ar,,Positive
التعامل في المعرض ممتاز الكل متواجد والتوصيل بالوقت المحدد يعطييهم العافية بس الاشكالية لما تحاسب في المعرض يكون معاك اغواض وتحاسب تروح انت تجيب الاكياس وتحمل اعراضك بنفسك ذي بس الملاحظة ويعطيكم العافية,ar,,Positive
And in bet situations Box should be received in perfect condition knowing that the box has lot of scratches,en,,Positive
"العمال ودودين ومحترفين جدا، الملاحظة الوحيده اني غيرتي يوم التسليم عن طريق الموقع ولم يتم الالتزام بالموعد الجديد",ar,,Positive
"كان سعيد الفقي وزميله الاخر في غاية الاحترام و المهنية العالية في انجاز مهمتهم باتقان، اوصي بهم بشدة لصبرهم واحترامهم للعميل.",ar,,Positive
اخر مره اتعامل فيها مع اكسترا لقد باعوا لي منتجات وحصلوا مبلغها وهيه غير متوافره بالمستودع والي الان لم استطع استرداد مبلغ الفاتوره او استلام النواقص او حتي تغيير المنتج لان السيستم لديكم لم يفعل المرتجع الي الان ولا يوجد احد بفرع اكسترا جده التحليه لديه اي حل لمشكلتي سوف اقوم بعمل بلاغ لدي وزارة التجارة و الصناعة في اقرب وقت,ar,,Negative
شرح للمنتج مفصل,ar,,Positive
تغليف الاجهزة تغليف حراري,ar,,Positive
شكراً,ar,,Positive
الالتزام بما تم الأتفاق عليه أثناء الشراء مع مسئول المبيعات حيث عند الذهاب لدفع الفاتورة تجد مصاريف إضافية غير ما تم الأتفاق عليه مع مسئول المبيعات,ar,,Negative
توفير مندوب فى كل قسم لسهولة المساعدة وشرح امكانيات الاجهزة,ar,,Positive
Airpod,sl,,Positive
شكرا,ar,,Positive
Cash discounts for frequent customers,en,,Positive
Service is more than enough,en,,Positive
كل شي ممتاز,ar,,Positive
ALL GOOD BECAUSE OF THE FRINDLY STAFF,en,,Positive
مستوى تركيب المكيفات سيئ وغير مهني,ar,,Positive
I will recommend to everyone,en,,Positive
شكرا لكم,ar,,Positive
توفر بعض المنتجات في المعرض الغير موجود,ar,,Neutral
اتاحت الشراء  اون لاين والاستلام من المعرض,ar,,Negative
خدمات الصيانة سي جدا. نقص المعرفة بصيانة الغسالة من الفني الذي تواصل معي,ar,,Negative
التنوع في الاجهزه وتسهيل عمليات الدفع,ar,,Positive
Improve the custmer service,en,,Positive
لايوجد اقتراح,ar,,Negative
ارغب في تقليل السعر,ar,,Positive
ضرورة سرعة تنفيذ الطلبات بحيث لا يزيد عن 48 ساعة,ar,,Negative
لا,ar,,Neutral
شكرا,ar,,Positive
تم الشراء بتاريخ ٤/٥ و تم رفع طلب بتاربخ ٥/٥ لعدم عمل المنتج و تم ارسال الفريق بتاريخ ١٧/٥ و حاليا انا غير مستحق للاسترجاع او الاستبدال.و حاليا المنتج لا يعمل,ar,,Negative
Everything was great. If I could request the service from my account online it would be even better. Had to go to the store to schedule the service because I lost the original receipt.,en,,Positive
If it's  not along time to complete service  it's excellent,en,,Positive
Best electronics and offer organizer in kindom,en,,Positive
The team was very kind and helpful,en,,Positive
"الموضوع كله انه عندكم ضغط في العمل ، شكرا لكم",ar,,Negative
Quick response,fr,,Positive
Price,ro,,Positive
Should bring the items at home quicker and not after 9 pm thanks,en,,Negative
إمكانية الاستلام من فرع اخر في حالة وجود نفس الصنف في الفرع,ar,,Positive
الرد متأخر جدا يأخذ ساعات للاسف الشديد.   كذلك طلبت اعادة جدول التركيب بعد ٢٤ ساعة و لم استطع,ar,,Negative
More friendly customer service employees,en,,Positive
Nothing,en,,Neutral
وصل مكيف بكرتونه متعطل,ar,,Negative
Delivery staff contacts me at work at 10 am FOR DELIVERY when my appointment is at 4 -9 pm,en,,Positive
الجهاز خربان و ما بقي رقم اول حساب او فرح ما تواصلت معاه,ar,,Negative
Excellent service thanks,en,,Positive
سهولة إرجاع المنتج دون تعقيدات في حال وجود عيوب في المنتج,ar,,Negative
منتجات أبل وخاصة الماك بوك يرجا إبقاء كرتون الشحن البني وعدم فتحه اسوتاً بالشركات الثانية امازون واس تي سي ومعار ابل حماية للمنتج أثناء التخزين والشحن .,ar,,Positive
اتمنى من الي شغالين في خدمة العملاء احترام الزبائن وعدم التعالي عليهم لانهم يعتبرون واجهة الشركه,ar,,Positive
"When I received the device, it was fully packaged, and when I got home and opened the package, the device was missing a piece.",en,,Negative
تحديث الأسعار أول بأول تجنباُ لحدوث اللغط,ar,,Positive
لا يوجد,ar,,Neutral
"Low price, good quality 👍🏼",en,👍🏼,Positive
Good,so,,Positive
كل شيء علي ما يرام,ar,,Positive
رائعين أتمنى لكم الاستمرار والتوفيق دايما,ar,,Positive
Your customer service agent taking long to time ro responed witch cust me money.,en,,Positive
Give contact number where we can talk directly,en,,Positive
Delivery Timing should be accesible to the customer. The delivery guy making me uncomfortable due to timing as I have work until 7pm and he was insisting on 5pm.,en,,Negative
سرعة التبديل الأجهزة لأنه بعد الموافقة تم تسليم الجهاز البديل بحسب النظام بين ٤٥ إلى ٦٠ دقيقة ولا اعلم هل هو بسبب إجراءات أنظمة اما بسبب بعد مستودع الأجهزة,ar,,Negative
فنان العمال,ar,,Positive
شكرا لكم,ar,,Positive
شكراً,ar,,Positive
شكرا جدا للموظف احمد نبيل منتهي الزوق والرقي في التعامل وانشالله هجيب باقي أفراد الشركه تشتري وشكرا فريق اكسترا,ar,,Positive
اشتريت فرن كهربائي وتم إبلاغي بانه يمكن ان يرتجع خلال ٧ايام في حالة وجود اي عيب وطلبوا مني دفع ضمان اكسترا لخدمة افضل وحين استخدمت الفرن وجدت ان معدل الحرارة فيه منخفض جدا ويحتاج وقت طويل جدا لتسخين اي شيء وحين عدت بالجهاز إلى  فرع اكسترا بالفيصليه قالوا ان الجهاز سليم ولم يهتموا بشكوتي فاصريت  علي تركه اقترح اسلوبا افضل من هذا في التعامل واحترام شكوي العميل,ar,,Neutral
لا والله ماعندي,ar,,Negative
لا شئ,ar,,Negative
الفني احمد عبد الفتاح ممتاز جدا,ar,,Positive
وصل لي منتج  ناقص  قطعة بعد صيانه,ar,,Negative
اشكر الاخ كريم الهوال على خدمته الممتازة - ما من اقتراحات جميع الخدمات مرضية,ar,,Positive
تكون الصيانه فوريه في نفس اليوم,ar,,Negative
كل شي ممتاز,ar,,Positive
الاستمرار في خدمة العميل,ar,,Positive
مستر عاصم ماشاءالله عليه خدوم وأمين حقيقي يستحق الشكر والتقدير عاصم,ar,,Positive
لا يوجد لدي اي اقتراح اكسترا جودة وضمان,ar,,Positive
